#,Letter,Old name1,Old name2,Name,Opened as a service station,Opened,Electrified,Electrified 550 V,Electrified 6000 V,Deelectrified 6000 V,Electrified 15 kV,Officially completed,Closed for S-Bahn trains,Closed,Deelectrified,Reopened,Reopened for S-Bahn trains,Reopened for regional trains,Reelectrified,Bahn1,Bahn2,Bahn3,Abbreviations1 (old),Abbreviations2 (old),Abbreviations,Latitude,Longitude
111,N,,,Nikolassee (Wannseebahn),,1902-05-01,1933-05-15,,,,,,,1980-09-18,,1985-02-01,,,,Wannseebahn,,,Niu,Ni,BNIW,52.43116,13.19304
112,N,Stettiner Fernbahnhof,Stettiner Bahnhof,Nordbahnhof,,1936-07-27,1936-07-27,,,,,,1961-08-13,1984-01-09,,1990-09-01,,,,Nordsüd-S-Bahntunnel,,,Nob,Nou,BNB,52.53257,13.38785
113,N,Neu-Lichtenberg,,Nöldnerplatz,,1902-10-01,1928-11-06,,,,,,,,,,,,,Ostbahn,,,Nl,,BNPL,52.50381,13.48489
114,O,,,Oberspree,,1892-04-01,1929-02-01,,1903-08-15,,,,,,,,,,,Zweigbahn Schöneweide - Spindlersfeld,,,Osp,,BOSP,52.45257,13.53822
115,O,Rennbahn,Reichssportfeld,Olympiastadion,,1909-05-23,1928-08-23,,,,,,,1980-09-19,,1998-01-16,,,,Spandauer Vorortbahn,,,Ols,Rsf,BOLS,52.51222,13.24085
116,O,,,Oranienburg,,1877-07-10,1925-10-04,,,,,,,,,,,,,Nordbahn,,,Or,,BORB,52.75467,13.24855
117,O,,,Oranienburger Straße,,1936-07-27,1936-07-27,,,,,,1961-08-13,1984-01-09,,1990-09-01,,,,Nordsüd-S-Bahntunnel,,,Oru,,BORS,52.52520,13.39219
118,O,,,Osdorfer Straße,,1998-09-25,1998-09-25,,,,,,,,,,,,,Anhalter Bahn,,,,,BOSS,52.41840,13.31376
119,O,Frankfurter Bahnhof,Schlesischer Bahnhof,Ostbahnhof,,1842-10-23,1928-06-11,,,,,,,,,,,,,Stadtbahn,Ostbahn,Schlesischen Bahn,Osb,Bhf,BOSB,52.51065,13.43451
120,O,Stralau-Rummelsburg,,Ostkreuz,,1882-02-07,1928-11-06,,,,,,,1945-04-01,,1945-06-11,,,,Ostbahn,Ringbahn,Schlesischen Bahn,Ok,Sru,BOK,52.50334,13.46927
121,P,Pankow-Schönhausen,,Pankow,,1880-10-15,1924-08-08,,,,,,,,,,,,,Stettiner Bahn,,,Pk,,BPKW,52.56649,13.41051
122,P,,,Pankow-Heinersdorf,,1893-10-01,1924-08-08,,,,,,,,,,,,,Stettiner Bahn,,,Phd,,BPHD,52.57769,13.42877
123,P,,,Papestraße (Ringbahn),,1901-01-01,1928-11-06,,,,,,,1980-09-18,,1993-12-17,,,,Ringbahn,,,Par,,BPAPR,52.47676,13.36580
124,P,,,Papestraße (Vorortbahn),,1901-12-01,1929-07-02,1903-06-04,,,,,,,,,,,,Dresdener Bahn,,,Pav,,BPAPV,52.47645,13.36499
125,P,Giebelsee,,Petershagen Nord,,1944-08-01,1948-10-31,,,,,,,,,,,,,Ostbahn,,,Pen,Gl,BPEN,52.52923,13.78993
